Category,Subcategory,Title,Price,URL,Description,Review Count,Spec
Computers,Laptops,Packard 255 G2,416.99,https://webscraper.io/test-sites/e-commerce/static/product/31,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",0,"15.6"""
Computers,Laptops,Aspire E1-510,306.99,https://webscraper.io/test-sites/e-commerce/static/product/32,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",0,"15.6"""
Computers,Laptops,ThinkPad T540p,1178.99,https://webscraper.io/test-sites/e-commerce/static/product/33,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",0,"15.6"""
Computers,Laptops,ProBook,739.99,https://webscraper.io/test-sites/e-commerce/static/product/34,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",0,"14"""
Computers,Laptops,ThinkPad X240,1311.99,https://webscraper.io/test-sites/e-commerce/static/product/35,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",0,"12.5"""
Computers,Laptops,Aspire E1-572G,581.99,https://webscraper.io/test-sites/e-commerce/static/product/36,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",0,"15.6"""
Computers,Laptops,Asus VivoBook...,468.56,https://webscraper.io/test-sites/e-commerce/static/product/85,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",0,Asus VivoBook 15 X540UA-DM260 Chocolate Black
Computers,Laptops,Acer Aspire ES...,469.1,https://webscraper.io/test-sites/e-commerce/static/product/86,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",0,Acer Aspire ES1-572 Black
Computers,Laptops,Lenovo V510 Bl...,484.23,https://webscraper.io/test-sites/e-commerce/static/product/87,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",0,Lenovo V510 Black
Computers,Laptops,Acer Aspire ES...,485.9,https://webscraper.io/test-sites/e-commerce/static/product/88,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",0,Acer Aspire ES1-572 Black
Computers,Laptops,Lenovo V510 Bl...,487.8,https://webscraper.io/test-sites/e-commerce/static/product/89,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",0,Lenovo V510 Black
Computers,Laptops,Acer Swift 1 S...,488.64,https://webscraper.io/test-sites/e-commerce/static/product/90,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",0,Acer Swift 1 SF113-31 Silver
